,actual_y,estimated_y,error_of_y(actual_y-estimated_y),std_of_estimated_y
0,-131.99391806386703,-146.75619716119513,14.762279097328104,25.84754507834866
1,-155.78642476235387,-143.66174455511302,-12.124680207240857,25.817464350883274
2,-120.56599732486704,-145.8331009602105,25.267103635343446,25.794952259291087
3,-165.69505315901185,-148.8117473778518,-16.88330578116006,25.932180961363976
4,-163.36929420775624,-145.29182900119125,-18.077465206564995,25.758976382073296
5,-194.7677273357046,-148.67219168068348,-46.09553565502111,25.830510770781654
6,-196.2092245445774,-146.49741342195648,-49.71181112262093,25.806995669021056
7,-194.46735060535715,-147.74420781946628,-46.72314278589087,25.815071015973324
8,-150.610108510219,-145.80426217260094,-4.80584633761805,25.819745678413593
9,-85.31496450043014,-145.0260680831297,59.711103582699565,25.771645234439728
10,-168.15904431446373,-147.24668845543925,-20.912355859024473,25.847868096354112
11,-116.4681052076292,-146.4099096178314,29.94180441020221,25.76832129244726
12,-148.89405091033302,-145.97466304221498,-2.9193878681180365,25.76001563144337
13,-168.61959588110605,-145.947605188485,-22.67199069262105,26.021650603751265
14,-187.4676479386133,-148.20243929391575,-39.265208644697566,26.008554740781996
15,-142.5533640128042,-147.70138967572464,5.148025662920446,25.80958596491185
16,-171.02284523051833,-149.06643344512625,-21.956411785392078,25.803211570801377
17,-102.05250896695142,-147.73566941375702,45.6831604468056,25.772306816918096
18,-190.39405782381027,-149.5296965341301,-40.864361289680176,25.95849117011642
19,-112.7038434462737,-144.61127264229026,31.907429196016565,25.790810258211458
20,-122.9519648562873,-145.02024947936204,22.06828462307473,25.82668834829208
21,-113.0891534552078,-143.2116482558612,30.1224948006534,25.758342767495908
22,-112.02330448907595,-143.73489417575362,31.71158968667767,25.751037554043343
23,-185.79207987406767,-143.35310455863475,-42.43897531543291,25.723150993661687
24,-169.37393862270463,-142.98221826778936,-26.391720354915265,25.736466192569882
25,-161.45719280472767,-146.08493844793864,-15.372254356789028,25.985898582026937
26,-117.04504762886376,-145.31972674286237,28.274679113998616,25.754621681634177
27,-167.4631516067179,-145.5417111656982,-21.921440441019712,25.744632507583677
28,-125.05628457803094,-144.90186541262543,19.845580834594486,25.773015327228837
29,-158.69508005166696,-144.63743165771876,-14.057648393948199,25.744363258605855
30,-111.1984639670496,-146.98500934588637,35.78654537883676,25.830481237389446
31,-153.7794979684948,-147.9343442935368,-5.845153674957999,25.806065185201913
32,-165.04111204098623,-145.18864402288594,-19.852468018100296,25.71304597504093
33,-135.15880825774596,-148.8114257369329,13.652617479186944,25.910637011054416
34,-152.3221951357714,-146.1428013437291,-6.179393792042305,25.707505064655983
35,-146.4354686394832,-144.1367340446076,-2.298734594875583,25.693747928295544
36,-182.8393030328158,-145.21536253567166,-37.62394049714413,25.767561708101166
37,-152.16774420581308,-145.25105786275847,-6.916686343054607,25.699153482989754
38,-107.15324637880954,-143.84220715668184,36.688960777872296,25.72617180235202
39,-126.99738966244016,-145.35683891792007,18.359449255479916,25.963886969284836
40,-129.64005419676116,-145.10102929241523,15.460975095654078,25.77220263094747
41,-151.29908618778035,-144.0655075470881,-7.233578640692258,25.757887792552168
42,-159.5567655252367,-144.79983318359294,-14.756932341643761,25.827763381846278
43,-189.4276691583668,-143.56623228465835,-45.86143687370844,25.72582271622609
44,-120.11540106333824,-144.03198418274556,23.91658311940732,25.72651818168982
45,-150.74760181296847,-146.55633201672103,-4.19126979624744,25.808693030686538
46,-105.18826461842116,-145.09335250155806,39.9050878831369,25.825708931607988
47,-109.55940121272111,-144.71524477933306,35.15584356661195,25.778079977764524
48,-146.51468697202205,-146.63957818793426,0.12489121591221419,25.725804394915375
49,-187.2173270241185,-147.65169325583898,-39.565633768279525,25.812612452494037
50,-169.68100768852145,-144.48639688533396,-25.194610803187487,25.938636093097717
51,-122.77130696775296,-145.53603916697526,22.764732199222294,25.806409343538835
52,-167.6447025934931,-146.46351323640394,-21.181189357089153,25.872815896698015
53,-120.05333916057332,-148.51048568372192,28.45714652314861,25.789633099516333
54,-116.87196580688308,-146.34515306666987,29.473187259786783,25.748066109552383
55,-165.49334385527868,-146.97490760664095,-18.518436248637727,25.76647739860868
56,-139.14995827420682,-146.48703160262423,7.337073328417404,25.779009079323995
57,-153.4606575497882,-146.42657229685446,-7.03408525293375,25.754377028267875
58,-169.3128346012692,-147.06486978519433,-22.24796481607487,25.824032262017475
59,-191.71614262873408,-140.98878030047788,-50.72736232825619,26.246135766223684
60,-106.96968808003966,-144.46625411415548,37.496566034115816,25.973566477207903
61,-151.88811100091348,-144.3988270294071,-7.4892839715063815,25.84369145801654
62,-178.30713615528867,-142.99197159969535,-35.31516455559333,25.819952389249824
63,-109.4321754251306,-139.48416522781733,30.051989802686734,25.85345066579004
64,-129.93439080794488,-141.68537906218563,11.750988254240752,25.861412245469914
65,-110.37081579160906,-143.26393456568388,32.89311877407482,25.730112777057432
66,-130.56295765200375,-139.95442447154204,9.391466819538294,25.934007614450806
67,-115.99567047615848,-139.81950305286492,23.823832576706437,25.836975847421854
68,-129.17865123162971,-145.99457693630978,16.81592570468007,25.896273299669293
69,-151.25966965381969,-144.61298581292473,-6.646683840894951,26.264668378550066
70,-109.4333241547549,-145.54984361204777,36.11651945729287,25.796131299091662
71,-109.22022618299349,-140.74608239288395,31.525856209890463,25.951201456846153
72,-145.7589661770853,-142.26214670555717,-3.4968194715281413,25.780695115835982
73,-160.9761547050408,-145.67662926152704,-15.299525443513772,26.184477385583214
74,-116.38768428239044,-142.31235983489196,25.924675552501526,25.844525783104903
75,-146.78637589270306,-141.07674676230093,-5.709629130402135,25.84108107123654
